Class	Probability_pred	Genes
CD8+/CD45RA+ Naive Cytotoxic	0.66911423	RP11-291B21.2
CD8+/CD45RA+ Naive Cytotoxic	0.6305529	CD8A
CD8+/CD45RA+ Naive Cytotoxic	0.57298404	CD8B
CD8+/CD45RA+ Naive Cytotoxic	0.5067679	AIF1
CD8+/CD45RA+ Naive Cytotoxic	0.37203628	CA2
CD8+/CD45RA+ Naive Cytotoxic	0.35298535	CD79A
CD8+/CD45RA+ Naive Cytotoxic	0.35066652	FRMD3
CD8+/CD45RA+ Naive Cytotoxic	0.3503336	SH3BGRL2
CD8+/CD45RA+ Naive Cytotoxic	0.3498476	PPP1R14A
CD8+/CD45RA+ Naive Cytotoxic	0.34654972	FCER2
CD8+ Cytotoxic T	0.5712434	NKG7
CD8+ Cytotoxic T	0.56890166	FCGR3A
CD8+ Cytotoxic T	0.564189	GNLY
CD8+ Cytotoxic T	0.5432498	GZMH
CD8+ Cytotoxic T	0.53342813	FGFBP2
CD8+ Cytotoxic T	0.5213123	GZMB
CD8+ Cytotoxic T	0.5147463	TYROBP
CD8+ Cytotoxic T	0.51263416	CD160
CD8+ Cytotoxic T	0.49543878	S1PR5
CD8+ Cytotoxic T	0.47833103	GPR56
CD4+/CD25 T Reg	0.33510464	LRRTM2
CD4+/CD25 T Reg	0.33400708	RP11-461O7.1
CD4+/CD25 T Reg	0.33221972	TP53TG3
CD4+/CD25 T Reg	0.33218533	MS4A6E
CD4+/CD25 T Reg	0.3321591	PLCB4
CD4+/CD25 T Reg	0.3320006	TYMP
CD4+/CD25 T Reg	0.33128586	CEACAM3
CD4+/CD25 T Reg	0.33087197	CTD-2031P19.5
CD4+/CD25 T Reg	0.330646	AC091133.1
CD4+/CD25 T Reg	0.33057278	CXCL10
CD4+/CD45RO+ Memory	0.23916464	TBXAS1
